protocol_version,session_id,run_id,timestamp_utc,device_model,operating_system,unity_version,model_id,model_version,model_variant,model_asset,backend,quantization,output_kind,tensor_layout,parameters_millions,gflops_at_640,input_width,input_height,output_count,output_shape,iteration,preprocessing_ms,scheduling_ms,execution_readback_ms,total_ms,completion_frame_ms,allocated_memory_bytes,reserved_memory_bytes,mono_used_memory_bytes,battery_level,battery_status,gc_gen0_count,gc_gen1_count,gc_gen2_count
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:48.0683360Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",31,0.8026,5.6919,215.6443,222.1392,13.949015,133549206,255279104,60997632,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:48.3186810Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",32,0.83,6.0111,229.4765,236.3178,13.839272,133558567,255279104,60997632,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:48.5682910Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",33,0.8509,6.0149,229.2079,236.0739,14.017652,133567686,255279104,60997632,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:48.8043770Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",34,0.7711,6.361,215.0854,222.2178,13.910622,133576534,255279104,60997632,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:49.0404940Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",35,0.9019,5.5832,215.7181,222.2034,13.896883,133585542,255279104,61005824,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:49.2764680Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",36,0.9442,5.673,215.3578,221.9752,13.783596,133594582,255279104,61005824,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:49.5126470Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",37,0.7896,5.7684,215.7147,222.273,13.823072,133603638,255279104,61005824,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:49.7486950Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",38,0.9932,5.9209,215.1975,222.1119,14.021563,133612662,255279104,61009920,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:49.9848950Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",39,0.8084,5.9,215.4925,222.201,13.958596,133621686,255279104,61014016,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:50.2208240Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",40,0.7909,5.9018,215.0454,221.7384,13.639371,133630726,255279104,61018112,0.88,Discharging,23,23,23
